,load_id,pickup_time,start_lat,start_lng,end_lat,end_lng,distance_km,duration_hours,fuel_used_liters,total_fuel_cost,carbon_emission_kg,error
46,SO060921AUTZD008,2021-09-13 13:19:24,13.611112,100.433906,14.836212,99.765049,189.6,2.7,75.8,91.0,203.2,
47,SO120921PTAGX001,2021-09-13 13:19:35,16.487862,102.428327,13.605661,100.56817,452.5,5.8,181.0,217.2,485.0,
48,SO120921WJISO004,2021-09-13 13:19:40,16.487862,102.428327,14.892086,101.723242,224.0,3.0,89.6,107.5,240.2,
49,SO130921HXMYA003,2021-09-13 13:27:25,14.861583,100.359041,13.584058,100.302361,187.0,2.4,74.8,89.8,200.5,
50,SO120921IMVTM006,2021-09-13 13:57:43,16.487862,102.428327,16.549799,102.089885,41.2,0.5,16.5,19.8,44.2,
51,SO120921LSNSM005,2021-09-14 11:08:09,16.487862,102.428327,16.44258,103.49956,128.7,1.7,51.5,61.8,138.0,
52,SO120921LUFXA007,2021-09-14 11:08:13,16.487862,102.428327,16.549352,102.089524,37.8,0.5,15.1,18.1,40.5,
53,SO100921GLSQT001,2021-09-14 11:08:19,13.598102,100.574637,13.701083,100.310942,40.4,0.6,16.2,19.4,43.3,
54,SO130921QIRCT002,2021-09-14 11:09:20,13.605661,100.56817,14.080777,100.622827,69.7,1.0,27.9,33.5,74.8,
55,SO130921KSCRK004,2021-09-14 11:10:57,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
56,SO100921CTJII003,2021-09-16 02:51:33,16.48359,102.121275,13.010436,101.190983,515.9,6.3,206.4,247.6,553.1,
57,SO120921UZUKS002,2021-09-16 02:51:35,16.487862,102.428327,13.605661,100.56817,452.5,5.8,181.0,217.2,485.0,
58,SO140921VVEST002,2021-09-16 02:51:37,14.861583,100.359041,13.689651,100.374374,162.3,2.1,64.9,77.9,174.0,
59,SO150921ABAKQ001,2021-09-16 02:56:13,16.483721,102.121277,13.788567,100.402986,429.7,5.2,171.9,206.3,460.7,
60,SO130921PFFZB005,2021-09-16 13:40:01,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
61,SO110921UPWIK004,2021-09-16 13:40:34,13.605661,100.56817,13.773676,100.36396,43.7,0.7,17.5,21.0,46.9,
62,SO140921LZUTY001,2021-09-17 02:57:43,16.487862,102.428327,16.433377,103.529494,130.5,1.7,52.2,62.7,139.9,
63,SO170921VVMOW002,2021-09-17 10:44:14,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
64,SO120921UUTHF003,2021-09-17 10:48:07,16.487862,102.428327,13.605661,100.56817,452.5,5.8,181.0,217.2,485.0,
65,SO110921EWHVB003,2021-09-17 10:51:36,13.605661,100.56817,12.770553,101.635085,192.6,2.4,77.0,92.4,206.5,
66,SO170921GNPWY001,2021-09-17 14:16:14,14.323297,100.618657,17.146228,104.118432,602.8,7.8,241.1,289.3,646.2,
67,SO110921AQATF002,2021-09-18 05:55:22,13.605661,100.56817,14.194994,100.641014,78.8,1.0,31.5,37.8,84.5,
68,SO160921CGTUG002,2021-09-18 05:55:49,13.513915,100.154189,17.146228,104.118432,695.1,8.8,278.0,333.6,745.1,
69,SO180921RKQPC001,2021-09-19 09:43:14,16.487862,102.428327,16.773393,101.24511,152.2,1.9,60.9,73.0,163.1,
70,SO090921LGLDJ009,2021-09-19 09:53:11,13.780055,100.444126,17.146228,104.118432,644.4,8.3,257.8,309.3,690.8,
71,SO180921QJIIN003,2021-09-19 09:53:59,16.487862,102.428327,14.709488,101.42112,266.8,3.6,106.7,128.1,286.0,
72,SO130921XXQGX006,2021-09-19 09:54:05,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
73,SO170921IETOF003,2021-09-20 08:38:59,16.483721,102.121277,13.788567,100.402986,429.7,5.2,171.9,206.3,460.7,
74,SO060921WRHTL009,2021-09-20 10:11:14,13.074963,100.907306,13.345947,101.041694,41.2,0.6,16.5,19.8,44.1,
75,SO040921ZGXCO002,2021-09-20 10:11:19,16.487862,102.428327,13.987053,100.748956,394.3,5.2,157.7,189.3,422.7,
76,SO180921BKBWQ002,2021-09-20 10:11:27,16.487862,102.428327,16.004761,101.893174,118.9,1.9,47.6,57.1,127.5,
77,SO170921IHVIT007,2021-09-20 12:30:42,13.543468,100.242039,16.397758,102.781717,485.6,5.8,194.2,233.1,520.5,
78,SO180921HQTRD004,2021-09-21 02:02:22,16.487862,102.428327,13.599096,100.599832,454.0,5.7,181.6,217.9,486.7,
79,SO170921VYTLI004,2021-09-21 02:05:00,16.48359,102.121275,13.010436,101.190983,515.9,6.3,206.4,247.6,553.1,
80,SO160921LRVQN001,2021-09-21 14:44:27,13.598102,100.574637,13.701083,100.310942,40.4,0.6,16.2,19.4,43.3,
81,SO210921ODQHG003,2021-09-21 14:47:49,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
82,SO210921EWHZH004,2021-09-21 14:48:25,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
83,SO210921IILIY001,2021-09-22 10:27:14,13.619286,100.591579,16.547352,102.095508,454.0,5.4,181.6,217.9,486.7,
84,SO210921SYVDR008,2021-09-22 10:27:31,14.345679,100.678365,17.146228,104.118432,581.3,7.7,232.5,279.0,623.2,
85,SO180921MCUFE005,2021-09-23 06:31:58,16.487862,102.428327,13.599096,100.599832,454.0,5.7,181.6,217.9,486.7,
86,SO210921ONJQC012,2021-09-23 09:17:03,13.543468,100.242039,16.397758,102.781717,485.6,5.8,194.2,233.1,520.5,
87,SO210921VTIWE005,2021-09-23 13:51:20,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
88,SO210921XOXKT006,2021-09-23 13:51:26,14.861583,100.359041,13.598914,100.283924,178.4,2.3,71.4,85.6,191.3,
89,SO170921AFZXO005,2021-09-24 12:42:41,16.48359,102.121275,13.010436,101.190983,515.9,6.3,206.4,247.6,553.1,
90,SO180921NIMYJ006,2021-09-25 09:38:29,16.487862,102.428327,13.599096,100.599832,454.0,5.7,181.6,217.9,486.7,
91,SO250921UVZHC002,2021-09-27 11:13:28,14.345679,100.678365,17.146228,104.118432,581.3,7.7,232.5,279.0,623.2,
92,SO250921PCFBO003,2021-09-27 11:15:08,14.199618,100.581534,17.416395,102.816183,529.0,6.4,211.6,253.9,567.1,
93,SO250921BYEXC004,2021-09-27 11:15:57,13.513915,100.154189,17.146228,104.118432,695.1,8.8,278.0,333.6,745.1,
94,SO250921MVQTI006,2021-09-27 11:16:47,13.702105,100.523609,16.397743,102.781606,448.9,5.4,179.6,215.5,481.3,
95,SO250921XFPSH007,2021-09-27 11:17:12,14.323297,100.618657,17.146228,104.118432,602.8,7.8,241.1,289.3,646.2,
96,SO250921DWSUD008,2021-09-27 11:17:29,14.323297,100.618657,17.146228,104.118432,602.8,7.8,241.1,289.3,646.2,
97,SO240921SGPWG001,2021-09-29 01:38:02,16.48359,102.121275,13.010436,101.190983,515.9,6.3,206.4,247.6,553.1,
98,SO260921DYCIL001,2021-09-29 01:38:12,16.487862,102.428327,13.599096,100.599832,454.0,5.7,181.6,217.9,486.7,
99,SO230921CCPXN003,2021-09-29 01:38:25,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
